,PrgEnv-intel,craype,intel,cray-mpich,cray-pals,prod_util,cfp,cdo,python,libjpeg,gempak,hdf5,netcdf,grib_util,crtm,g2tmpl,udunits,gsl,nco,bufr_dump,wgrib2,perl,util_shared,imagemagick,hpss
enkfgdaseobs,Y,Y,Y,Y,Y,Y,,,Y,,,Y,Y,,Y,,,,,,,,,,
enkfgdasediag,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,
enkfgdaseupd,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,
enkfgdasesfc,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,Y,Y,,,,,,,,,,,
enkfgdasecen,Y,Y,Y,Y,Y,Y,,,Y,,,Y,Y,,,,,,,,,,,,
enkfgdasefcs,Y,Y,Y,Y,Y,Y,,,,,,Y,Y,,,,,,,,,,,,
enkfgdasepos,Y,Y,Y,Y,Y,Y,,,,,,Y,Y,,,,,,,,,,,,
enkfgdasechgres,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,
enkfgdasearc,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y
gdas[gfs]waveinit,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,
gdas[gfs]waveprep,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,Y,Y,Y,,Y,,,,
gdas[gfs]anal,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,,,,,,,
gdas[gfs]emcsfcsfcprep,Y,Y,Y,,,Y,,,,Y,,,,Y,,,,,,,Y,,,,
gdas[gfs]tropcyqcreloc,Y,Y,Y,,,Y,,,,Y,,,,Y,,,,,,,Y,,,,
gdas[gfs]analcalc,Y,Y,Y,Y,Y,Y,,,Y,,,Y,Y,,,,,,,,,,,,
gdasanaldiag,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,,,,,,,,,
gdasgldas,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,,,,,,,Y,,,,
gdas[gfs]fcst,Y,Y,Y,Y,Y,Y,,,,,,Y,Y,,,,,,,,,,,,
gdas[gfs]post,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,,,,,Y,,,,
gdas[gfs]wavepostsbs,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,Y,,,,
gdas[gfs]wavepostpnt,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,
gfswavepostbndpnt,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,
gfswavepostbndpntbll,Y,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,
gfspostsnd,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,,,,,,,,,,,
gfsfbwind,Y,Y,Y,,,Y,,,,Y,,,,Y,,,,,,,Y,,,,
gdas[gfs]gempak,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,,Y,,,,
gfsgempakmeta,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,,,
gdasgempakmetancdc,Y,Y,Y,,,Y,,,,,Y,,,,,,,,,,,,,,
gfsgempakncdcupapgif,Y,Y,Y,,,Y,,,,,Y,,,,,,,,,,,,,Y,
gfsnpoesspgrb20p5deg,Y,Y,Y,,,Y,,,,,,,,,,,,,,,Y,,,,
gfspgrb2specgempak,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,,
gfswavegempak,Y,Y,Y,,,Y,,,,,Y,,,,,,,,,,,,,,
gfswaveprdgenbulls,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,,Y,,
gfswaveprdgengridded,Y,Y,Y,,,Y,,,,Y,,,,Y,,,,,,,Y,,,,
gfsawips,Y,Y,Y,,,Y,,,,Y,,,,Y,,,,,,,Y,,,,
gfsawipsg2,Y,Y,Y,,,Y,,,,Y,,,,Y,,,,,,,Y,,,,
gdas[gfs]vrfy,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
gdasverfozn,Y,Y,Y,Y,Y,Y,,,,Y,,,Y,Y,,,,,,,,,Y,,
gdasverfrad,Y,Y,Y,Y,Y,Y,,,,Y,,,Y,Y,,,,,,,,,Y,,
gdas[gfs]vminmon,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,Y,Y,,
gdas[gfs]arch,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y
